Season,Season_encoded,Team,Matches_Played,Home_Matches,Away_Matches,Wins,Draws,Losses,Home_Wins,Away_Wins,Points,Points_Per_Game,Goals_Scored,Goals_Conceded,Goal_Difference,Avg_Goals_Scored,Avg_Goals_Conceded,Total_Shots,Total_Shots_On_Target,Avg_Shots,Avg_Shots_On_Target,Shot_Accuracy,Clean_Sheets,Clean_Sheet_Rate,Yellow_Cards,Red_Cards,Fouls,Corners,Avg_Corners,Win_Rate,Home_Win_Rate,Away_Win_Rate,Final_Position,Team_encoded
2002-03,2,Chelsea,38,19,19,19,10,9,12,7,67,1.763157894736842,68,38,30,1.7894736842105263,1.0,473.0,258.0,12.447368421052632,6.7894736842105265,54.54545454545454,13,0.34210526315789475,63.0,1.0,445.0,214.0,5.631578947368421,0.5,0.631578947368421,0.3684210526315789,4,13
2002-03,2,Liverpool,38,19,19,18,10,10,9,9,64,1.6842105263157894,61,41,20,1.605263157894737,1.0789473684210527,505.0,284.0,13.289473684210526,7.473684210526316,56.237623762376245,14,0.3684210526315789,44.0,3.0,404.0,226.0,5.947368421052632,0.47368421052631576,0.47368421052631576,0.47368421052631576,5,24
2002-03,2,Blackburn,38,19,19,16,12,10,9,7,60,1.5789473684210527,52,43,9,1.368421052631579,1.131578947368421,429.0,221.0,11.289473684210526,5.815789473684211,51.515151515151516,15,0.39473684210526316,62.0,4.0,529.0,214.0,5.631578947368421,0.42105263157894735,0.47368421052631576,0.3684210526315789,6,3
2002-03,2,Everton,38,19,19,17,8,13,11,6,59,1.5526315789473684,48,49,-1,1.263157894736842,1.2894736842105263,437.0,239.0,11.5,6.2894736842105265,54.69107551487414,11,0.2894736842105263,53.0,7.0,531.0,260.0,6.842105263157895,0.4473684210526316,0.5789473684210527,0.3157894736842105,7,17
2002-03,2,Southampton,38,19,19,13,13,12,9,4,52,1.368421052631579,43,46,-3,1.131578947368421,1.2105263157894737,460.0,227.0,12.105263157894736,5.973684210526316,49.34782608695652,13,0.34210526315789475,47.0,3.0,507.0,217.0,5.7105263157894735,0.34210526315789475,0.47368421052631576,0.21052631578947367,8,36
2002-03,2,Man City,38,19,19,15,6,17,9,6,51,1.3421052631578947,47,54,-7,1.236842105263158,1.4210526315789473,441.0,243.0,11.605263157894736,6.394736842105263,55.10204081632652,10,0.2631578947368421,54.0,6.0,445.0,242.0,6.368421052631579,0.39473684210526316,0.47368421052631576,0.3157894736842105,9,26
2002-03,2,Tottenham,38,19,19,14,8,16,9,5,50,1.3157894736842106,51,62,-11,1.3421052631578947,1.631578947368421,396.0,214.0,10.421052631578947,5.631578947368421,54.04040404040404,5,0.13157894736842105,60.0,6.0,488.0,223.0,5.868421052631579,0.3684210526315789,0.47368421052631576,0.2631578947368421,10,40
2002-03,2,Middlesbrough,38,19,19,13,10,15,10,3,49,1.2894736842105263,48,44,4,1.263157894736842,1.1578947368421053,389.0,184.0,10.236842105263158,4.842105263157895,47.30077120822622,10,0.2631578947368421,50.0,5.0,476.0,211.0,5.552631578947368,0.34210526315789475,0.5263157894736842,0.15789473684210525,11,28
2002-03,2,Charlton,38,19,19,14,7,17,8,6,49,1.2894736842105263,45,56,-11,1.1842105263157894,1.4736842105263157,358.0,205.0,9.421052631578947,5.394736842105263,57.262569832402235,8,0.21052631578947367,54.0,2.0,493.0,201.0,5.2894736842105265,0.3684210526315789,0.42105263157894735,0.3157894736842105,12,12
2002-03,2,Birmingham,38,19,19,13,9,16,8,5,48,1.263157894736842,41,49,-8,1.0789473684210527,1.2894736842105263,339.0,169.0,8.921052631578947,4.447368421052632,49.852507374631266,9,0.23684210526315788,71.0,5.0,502.0,183.0,4.815789473684211,0.34210526315789475,0.42105263157894735,0.2631578947368421,13,2
