first_name,second_name,season,now_cost,selected_by_percent,total_points,minutes,goals_scored,assists,creativity,threat,clean_sheets,goals_conceded,yellow_cards,red_cards,influence,ict_index,bonus,bps,goals_per_90,assists_per_90,goal_involvement,goal_involvement_per_90,clean_sheet_rate,total_cards,cards_per_90,points_per_cost,rank_in_season,season_encoded,player_name
João Pedro Cavaco,Cancelo,2021-22,72.0,41.4,201,3227,1,11,750.1,797.0,19,25,7,0,778.6,232.8,27,829,0.028,0.307,12,0.335,0.53,7,0.195,2.792,5,5,João Pedro Cavaco Cancelo
Kevin,De Bruyne,2021-22,121.0,18.6,196,2196,15,8,1147.6,845.0,13,22,2,0,973.4,296.8,33,732,0.615,0.328,23,0.943,0.533,2,0.082,1.62,6,5,Kevin De Bruyne
Harry,Kane,2021-22,125.0,23.4,192,3231,17,11,637.9,1701.0,14,40,5,0,969.4,330.4,23,684,0.474,0.306,28,0.78,0.39,5,0.139,1.536,7,5,Harry Kane
Andrew,Robertson,2021-22,73.0,11.6,186,2537,3,11,882.7,329.0,17,20,5,1,660.2,187.4,23,770,0.106,0.39,14,0.497,0.603,7,0.248,2.548,8,5,Andrew Robertson
Virgil,van Dijk,2021-22,68.0,17.8,183,3060,3,3,150.3,455.0,21,21,3,0,726.4,133.1,13,803,0.088,0.088,6,0.176,0.618,3,0.088,2.691,9,5,Virgil van Dijk
Sadio,Mané,2021-22,118.0,4.8,183,2818,16,5,592.5,1533.0,17,24,5,0,763.2,288.7,10,526,0.511,0.16,21,0.671,0.543,5,0.16,1.551,9,5,Sadio Mané
James,Maddison,2021-22,69.0,16.3,181,2454,12,11,664.1,753.0,5,41,3,0,767.4,218.3,24,637,0.44,0.403,23,0.844,0.183,3,0.11,2.623,11,5,James Maddison
Bukayo,Saka,2021-22,67.0,28.8,179,2978,11,9,942.5,1404.0,13,39,6,0,774.2,311.8,18,566,0.332,0.272,20,0.604,0.393,6,0.181,2.672,12,5,Bukayo Saka
Alisson,Ramses Becker,2021-22,61.0,9.4,176,3240,0,1,10.0,0.0,20,24,0,0,688.0,69.8,15,782,0.0,0.028,1,0.028,0.556,0,0.0,2.885,13,5,Alisson Ramses Becker
Diogo,Jota,2021-22,83.0,17.3,175,2357,15,7,535.5,1327.0,14,19,3,0,734.8,258.8,8,483,0.573,0.267,22,0.84,0.535,3,0.115,2.108,14,5,Diogo Jota
Joel,Matip,2021-22,53.0,10.1,170,2790,3,3,170.6,478.0,17,21,2,0,678.6,132.8,20,763,0.097,0.097,6,0.194,0.548,2,0.065,3.208,15,5,Joel Matip
Mason,Mount,2021-22,77.0,21.9,169,2358,11,11,914.8,931.0,11,25,4,0,812.8,265.8,16,597,0.42,0.42,22,0.84,0.42,4,0.153,2.195,16,5,Mason Mount
Raheem,Sterling,2021-22,105.0,2.6,163,2121,13,7,588.2,1184.0,13,17,1,0,709.8,248.4,15,468,0.552,0.297,20,0.849,0.552,1,0.042,1.552,17,5,Raheem Sterling
Aymeric,Laporte,2021-22,60.0,11.0,160,2830,4,2,197.4,331.0,18,24,5,1,641.0,116.7,8,714,0.127,0.064,6,0.191,0.572,7,0.223,2.667,18,5,Aymeric Laporte
Cristiano Ronaldo,dos Santos Aveiro,2021-22,122.0,18.1,159,2454,18,3,421.9,1535.0,8,41,8,0,800.4,274.6,29,608,0.66,0.11,21,0.77,0.293,8,0.293,1.303,19,5,Cristiano Ronaldo dos Santos Aveiro
James,Ward-Prowse,2021-22,64.0,5.3,159,3215,10,5,1159.6,394.0,7,65,3,1,933.6,248.9,21,769,0.28,0.14,15,0.42,0.196,5,0.14,2.484,19,5,James Ward-Prowse
Hugo,Lloris,2021-22,55.0,8.5,158,3420,0,0,23.0,0.0,16,40,2,0,743.6,76.6,11,703,0.0,0.0,0,0.0,0.421,2,0.053,2.873,21,5,Hugo Lloris
Ederson,Santana de Moraes,2021-22,62.0,12.1,155,3330,0,0,0.0,0.0,20,26,3,0,556.0,55.6,4,701,0.0,0.0,0,0.0,0.541,3,0.081,2.5,22,5,Ederson Santana de Moraes
Bernardo Mota,Veiga de Carvalho e Silva,2021-22,70.0,14.0,155,2856,8,8,849.7,950.0,16,23,6,0,729.6,253.5,15,663,0.252,0.252,16,0.504,0.504,6,0.189,2.214,22,5,Bernardo Mota Veiga de Carvalho e Silva
Bruno Miguel,Borges Fernandes,2021-22,116.0,13.5,151,3110,10,7,1275.5,853.0,8,54,10,0,901.0,303.3,15,626,0.289,0.203,17,0.492,0.232,10,0.289,1.302,24,5,Bruno Miguel Borges Fernandes
Antonio,Rüdiger,2021-22,61.0,18.8,150,3035,3,3,257.4,484.0,15,27,9,0,581.6,132.3,10,661,0.089,0.089,6,0.178,0.445,9,0.267,2.459,25,5,Antonio Rüdiger
Wilfried,Zaha,2021-22,69.0,8.5,150,2759,14,2,630.6,963.0,11,34,4,1,732.2,232.5,11,422,0.457,0.065,16,0.522,0.359,6,0.196,2.174,25,5,Wilfried Zaha
Matthew,Cash,2021-22,53.0,11.5,147,3377,4,3,432.1,517.0,13,50,8,0,709.0,165.8,11,623,0.107,0.08,7,0.187,0.346,8,0.213,2.774,27,5,Matthew Cash
Gabriel,Magalhães,2021-22,53.0,7.4,146,3063,5,0,129.3,453.0,13,38,6,1,703.0,128.4,16,682,0.147,0.0,5,0.147,0.382,8,0.235,2.755,28,5,Gabriel Magalhães
José,Malheiro de Sá,2021-22,52.0,8.3,146,3285,0,1,30.0,0.0,11,40,3,0,938.8,96.7,11,722,0.0,0.027,1,0.027,0.301,3,0.082,2.808,28,5,José Malheiro de Sá
Raphael,Dias Belloli,2021-22,63.0,11.6,145,2916,11,4,898.8,872.0,5,68,7,0,728.2,250.1,14,457,0.34,0.123,15,0.463,0.154,7,0.216,2.302,30,5,Raphael Dias Belloli
Teemu,Pukki,2021-22,61.0,9.6,142,3253,11,3,355.7,1049.0,6,79,4,0,527.4,193.2,19,441,0.304,0.083,14,0.387,0.166,4,0.111,2.328,31,5,Teemu Pukki
Leandro,Trossard,2021-22,59.0,2.8,141,2803,8,4,708.3,1020.0,11,33,2,0,627.6,235.4,16,465,0.257,0.128,12,0.385,0.353,2,0.064,2.39,32,5,Leandro Trossard
Reece,James,2021-22,65.0,19.1,141,1863,5,9,696.1,436.0,7,22,4,1,582.0,171.5,26,573,0.242,0.435,14,0.676,0.338,6,0.29,2.169,32,5,Reece James
Rúben Santos,Gato Alves Dias,2021-22,62.0,15.5,141,2401,2,5,225.2,268.0,14,18,5,0,581.2,107.6,12,622,0.075,0.187,7,0.262,0.525,5,0.187,2.274,32,5,Rúben Santos Gato Alves Dias
Conor,Gallagher,2021-22,60.0,11.2,140,2843,8,6,611.1,671.0,11,38,10,0,665.2,194.5,16,469,0.253,0.19,14,0.443,0.348,10,0.317,2.333,35,5,Conor Gallagher
Michail,Antonio,2021-22,73.0,24.3,140,2975,10,10,613.5,1263.0,7,43,6,1,611.6,247.6,14,441,0.303,0.303,20,0.605,0.212,8,0.242,1.918,35,5,Michail Antonio
Ivan,Toney,2021-22,69.0,18.8,139,2908,12,5,572.0,1284.0,8,47,8,0,717.8,257.4,19,502,0.371,0.155,17,0.526,0.248,8,0.248,2.014,37,5,Ivan Toney
Saïd,Benrahma,2021-22,59.0,10.7,138,2162,8,6,476.4,737.0,9,27,0,0,561.0,177.6,15,441,0.333,0.25,14,0.583,0.375,0,0.0,2.339,38,5,Saïd Benrahma
Conor,Coady,2021-22,47.0,13.4,138,3361,4,0,45.4,202.0,11,43,4,0,737.2,98.8,10,688,0.107,0.0,4,0.107,0.295,4,0.107,2.936,38,5,Conor Coady
